编号,场景,文案,图片url,音频url,视频url,用户id
50022,5501,生日快乐～本命年平安顺遂！！创作灵感不断～,,,,imyrella
50023,5501,恋恋生日快乐，新的一年希望你更加自由肆意，有更多的灵感写出更多自己喜欢的歌，身体健康，希望可以线下多多见面吧,,,,L&J  
50024,5501,生日快乐 新一岁 祝你更自由 更快乐,,,,一只蛋挞
50025,5501,生日快乐姐，祝妳好运降临。,,,,Kims
50026,5501,生日快乐呀姐姐^_☆祝你新的一岁是更幸福的、漂亮的、迷人的、幸运的、闪闪发光的，祝你新的一岁依然是你自己，并且是自己心目中那个更好的自己！,,,,人鱼
50027,5501,希望我们小恋可以开开心心的，做自己想做的事，多多见面！,,,,三三得九巨蟹
50028,5501,"新的一岁，愿你永远有唱不完的歌、跳不完的舞、追不完的梦，
在每一个舞台上都绽放最耀眼的光芒，在生活里永远自在如风",,,,小安娜琦
50029,5501,"愿你所愿 爱你所爱 最重要的是身体健康
",,,,予寧冬
50030,5501,恋恋生日快乐！新的一岁 愿你被鲜花簇拥 看大海漫漫 热烈而坚定 自由且勇敢！本命年！一定会格外幸福顺利的～,,,,不署名的爱意
50031,5501,生日快乐！祝你创作灵感爆棚，所愿皆所得,,,,这是一个憨憨的号
50032,5501,生日快乐！新的一岁仍然要身体健康哦，这是最重要的，毕竟我还等着70岁时去看八十岁的你演出。祝你可以做任何想做的事情，所有的想法都可以落地实现，灵感源源不断，新歌石破天惊，有更多正常人爱你，欣赏你的作品,,,,拖延症小王
50033,5501,"生日快乐宝贝，还是祝你永远可以用敏锐的感知力
依然保持旺盛的创造力，成为你想成为的任何事物，创造属于我们的乐园",,,,小笛子lldg
50034,5501,时间过得真快！转眼又是一年0426，每年都期待这一天，虽说是你的生日，但总觉得每年你都在准备给我们的礼物，你咋这么好呢！希望新的一年小刘的事业顺顺顺！小刘的财运发发发！灵感之神一直眷顾小刘～当然最重要的是做一个健健康康，快快乐乐的小孩～,,,,温开水
50035,5501,生日快乐，身体健康，平平安安，开开心心！,,,,昀卿
50036,5501,生日快乐！勇敢地做自己，勇敢的继续走下去！,,,,kiki
50037,5501,又一年426啦宝宝生日快乐！做你想做的！做你开心的！祝你灵感永不断！创作出更多更好的歌曲！,,,,Cc
50038,5501,祝姐生日快乐，新的一年可以灵感爆棚写更多好歌！也希望姐可以被更多人看见，尽早去更大的舞台开巡演！,,,,Yuanlizhinv_lian
50039,5501,要永远幸福，做自己想做的任何事,,,,iFyyylx
50040,5501,要永远健康开心！写歌灵感多多，巡演顺利,,,,阿熊
50041,5501,希望恋恋在新的一岁中继续与灵感撞个满怀，载着一骑的幸福与爱。,,,,可以喝酒_
50042,5501,恋恋要坚持自己一直唱到100岁呀,,,,wLAN丸
50043,5501,愿你平安健康开心,,,,aoife
50044,5501,长命百岁吧,,,,末日最后一只猫
50045,5501,祝恋恋永远所愿皆所得,,,,Zest Quest Xenia
50046,5501,姐宝生日快乐，愿灵感之神永远眷顾你,,,,关东煮捞下
50047,5501,又是一年生日啦姐姐，希望你一切顺利，健康开心地陪我们更久一点～,,,,18hours_PEACHY 
50048,5501,生日快乐姐姐 祝你平安健康 有源源不断的灵感 每次演出都顺利 祝你被更多人爱,,,,玛卡jin424
50049,5501,姐，生日快乐，祝你健康平安，永远自由，笑口常开，好运来,,,,饭团团
50050,5501,希望你有健康的身体、美好的心情、源源不断的灵感，以及永远有活力永远向上的一颗年轻的心。也希望有越来越多的人喜欢你，唱你的歌，为你鼓掌，我会继续在角落里看着你在台上闪光，在歌声和欢呼声中偷偷说上一句，“刘恋，你真的很棒，我爱你”,,,,小羊要悄悄逃离这个失眠的世界啊
50051,5501,生日快乐，一直唱到80岁吧！,,,,云里做梦219
50052,5501,在善变的世界一起见见永恒吧,,,,"不如就活个尽兴
"
50053,5501,姐姐生日快乐！我们要健康平安快快乐乐的唱到一百岁噢！,,,,"土豆大王
"
50054,5501,宝宝姐姐生日快乐！愿你做自由的自己，能无忧无虑地唱。,,,,vng
50055,5501,生日快乐！祝你永远能做你自己想做的事，永远自由！,,,,云在匆匆流淌
50056,5501,生日快乐姐姐！一直一直走花路吧！做你想做的事 爱你想爱的人！,,,,Jia
50057,5501,生日快乐恋恋姐 希望你能一直做最快乐的自己 尽兴就好 你永远是最棒最棒的,,,,恋旧祎雨落
50058,5501,恋～生日快乐，平日快乐～ 嗯，要平安健康，祝你有喜欢的班儿可以上，有想见的人可以多多见，有绝佳的灵感可以持续输出创作，有更多能体现你性感大脑的游戏待挖掘～祝你新的一年活得尽兴，祝我们能有更多机会见面（抱抱  ）,,,,暂时遗弃
50059,5501,祝恋恋家庭幸福生活愉快，灵感多多能量满满，新的一岁我们都要更加爱自己爱刘恋哦~期待你未来更多创作！更多作品！期待与你再相见！,,,,小农民
50060,5501,恋宝，生日快乐，愿你身体健康，你一直唱，我一直在场,,,,柒予
50061,5501,生日快乐，辛苦了，做得好，我爱你,,,,熊饼
50062,5501,姐姐生日快乐，爱你，是我做过最好的事,,,,心动颜究日记_锦鲤版
50063,5501,姐姐生日快乐！，希望你能一直做自己喜欢的事情，身体健康，永远幸福！,,,,一条好鱼
50064,5501,永远在场，希望多多见面。,,,,小喵喵叠猫猫
50065,5501,恋恋生日快乐！尽兴就好，怎样都是美的,,,,楠木头
50066,5501,恋恋本命年生日快乐  ，好想你，做梦都梦到你了，好想快点现场再见         ,,,,zzztw-zzztw
50067,5501,恋恋生日快乐  愿你时常感到快乐幸福 愿你今后的生活硕果累累,,,,夏天能喝到金菠萝嘛
50068,5501,祝刘恋女士生日快乐！祝你收获更多为你而来的爱，祝你在爱里自信且自由。,,,,幻想家
50069,5501,祝我们的本命年都万事顺意，一直都好好的就好！,,,,世界上最难写的就是自己的名字
50070,5501,,,,,小紙
50071,5501,本命年的小马顺顺利利，一直唱到90岁吧！,,,,甜心奶泡芙_
50072,5501,不知道你怎么理解黄金时代这个词 爱上32岁的你 发着光的初见 北展 我也百分之百相信 你的黄金时代 才刚刚开始 祝愿你能够做你想做的任何事 还要身体健康 姐姐 祝你一切都好,,,,瑶瑶
50073,5501,点一首《永远都会在》：祝老姐勇敢无畏地做少年心气的你，祝有很多个我们在你身后,,,,般弱星跳舞的阿离
50074,5501,祝姐姐身体健健康康，灵感满满，未来一起走花路，期待演唱会开到鸟巢的那一天！,,,,LLMJ小明
50075,5501,愿君长夜美梦多,,,,Lodess云蜮
50076,5501,生日快乐恋恋，勇敢做你喜欢的事吧,,,,吃核桃不吐核桃壳
50077,5501,生日快乐！36的小刘！又要一起过生日啦～同样本命年的我 遭遇了各种爆炸的水逆 不知你是否也被一些烦恼困扰 摸摸自己也抱抱你 祝我们都能拨开云雾见阳光 你可是我的晴天娃娃 一切都会好的是吗（是！超大声！）最后 还是那句话 希望你能够一直一直开心 一直一直做自己 爱你一直在场！,,,,Ly-Q-z
50078,5501,身体健康。在歌曲中游历人生，在生活里自在生长。,,,,想退休
50079,5501,恋恋！生日快乐！我们都会好在新的一岁！,,,,明天别熬夜了吭
50080,5501,恋恋生日快乐!希望你开心!,,,,菠萝饭不要灯笼椒
50081,5501,越往前走越难，越难越往前走,,,,江川送明月
50082,5501,生日快乐！快乐不止今天！希望你健康平安 我们一直在 有很多人爱着你 祝愿你有源源不断的灵感！,,,,甜甜秀秀雨_y
50083,5501,谢谢你成为你，我们会一直在场，生日快乐，祝你永远有自由表达的能力！,,,,方掷月
50084,5501,永远自由浪漫，有源源不断的灵感,,,,Beesssss
50085,5501,生日快乐恋恋！新的一岁希望恋恋别着急开新坑，填填之前的老坑，好几个系列都好喜欢看！,,,,Bobi
50086,5501,希望姐永远有灵感，你有能做好一切的能力,,,,Yohovo
50087,5501,生日快乐，在每一年都要记得好好爱自己，工作之余不要忘了休息，有不开心的事情一定要找到好的消化方式，千万不要内耗，你每件事情做的都很好，每年都要开各种巡演好吗,,,,刘恋琉璃鲸
50088,5501,希望你拥有源源不断源源不断的灵感 写出满意的名留青史的歌,,,,YKYBHL
50089,5501,"健康快乐！
专辑舞台多多来，奖项提名处处开。",,,,mio
50090,5501,希望你永远自由 有每个不同阶段的不同灵感 最重要的是要一直开心 恋恋生日快乐,,,,沐沐1031
50091,5501,每一岁都是美丽的！要一直唱！大声唱！,,,,第一我不叫位
50092,5501,祝你顺利祝你越来越好祝我更加爱你,,,,玫瑰终究会开
50093,5501,恋恋生日快乐！祝一切都好，你不用走太快，我们会一直陪着你,,,,onez洋
50094,5501,祝恋恋生日快乐！每天都快乐！虽然喜欢工作，但也要注意身体，做自己想做的事，爱你。,,,,"小熊猫专车
"
50095,5501,恋恋生日快乐！希望你能一直自由快乐，身体健康！！！,,,,天上有个小傻
50096,5501,一直快乐吧，不用那么厉害也可以,,,,la笔小昕
50097,5501,我感到幸福，是看见你幸福。生日快乐姐姐！只要我还存在，就会一直爱你。,,,,鱼鳍
50098,5501,请一直快乐下去，做你最想做的事儿成为想成为的人。生日快乐！,,,,週末愉快在場
50099,5501,健康平安，自由随心,,,,听你眼睛里的光
50100,5501,自由 自在 自我,,,,三以文
50101,5501,祝你发财，被爱，好运常在。吃顿好饭，睡个好觉。,,,,梓木
50102,5501,无论什么时候我们都会陪在你身旁。,,,,孤独魔法
50103,5501,祝你开心和身体健康,,,,張張在东北等你
50104,5501,祝身体健康，多唱想唱的歌，多做想做的事，我一直在。,,,,刘小泳007
50105,5501,我们会一直一直一直爱你（重要的事情说3遍）想做啥做啥就完事了（附送一张sbti测出的妈妈图）,,,,咩了个咩
50106,5501,多来东北，多和文颖倩玩,,,,杀手
50107,5501,小恋，21世纪是分形涌现复杂性网络科学的世纪，所以永恒存在永恒的亲密关系就大概率存在呀，这是“科学”（好，民科吧，哈哈，我认为是100%，你是学霸你自己去查查呗）,,,,NNNNNNK-
50108,5501,恋恋生日快乐 希望今年能见面呀,,,,鱼
50109,5501,生日快乐 希望多多见面 希望你成为国际巨星！,,,,养生小杨爱吃梨
50110,5501,恋恋生日快乐希望你在新的一岁身体健康  走向更大舞台变成富婆,,,,BETCHA_
50111,5501,愿你如风自由，如海无忧。继续向前吧，想走想跑或者想躺下看看天空，都请随意，因为我们会陪着你。“当舞会散场时”我们依然在场。,,,,木木木茗_
50112,5501,希望新的一岁可以常常和你见面 大胆做自己想做的事吧 我们永远支持你~ ,,,,恋落云卷_
50113,5501,生日快乐，我知道永恒说来是有点荒唐，可你让我又忍不住往那儿想。,,,,排了好几公里
50114,5501,生日快乐！永远快乐！,,,,林一
50115,5501,快乐新的一岁新的开始希望恋恋能天天开心事业上蒸蒸日上,,,,小周
50116,5501,多多见面，灵感不断，生日快乐,,,,废纸团团
50117,5501,生日快乐，做自己想做的事，自由肆意地活着,,,,词不达意
50118,5501,祝我们都生日快乐！越～来～越～好～来来来来～,,,,油油油油uu
50119,5501,生日快乐！愿你的创作灵感永不枯竭！唱到九十岁！,,,,香槟两瓶
50120,5501,要健康 要幸福 祝你不焦虑 祝你难过时能有人接住你的情绪,,,,土豆
50121,5501,生日快乐恋恋！一直记得你的那句歌词，保持内心温柔而灵魂自由！希望恋恋可以尝试所有想尝试的事物，不断给我们惊喜！,,,,一只会飞的猪呀_
50122,5501,希望你永远自由，永远做自己，我会一直一直在场,,,,Seven
50123,5501,身体健康 一切顺利 自由浪漫,,,,让我出去丸
50124,5501,以后的日子，请像你希望的那样，继续热烈、浪漫的生活下去吧,,,,迷恋
50125,5501,希望你在新的一岁依旧温柔浪漫,,,,风筝线
50126,5501,感谢你成为刘恋 一直浪漫下去吧,,,,爱恋 aiai
50127,5501,祝我们本命年的平安顺利,,,,YwY.
50128,5501,恋姐生日快乐呀，希望今年可以事事顺意，平安喜乐,,,,小吴想一直在场
50129,5501,恋恋姐生日快乐呀！希望今年的你开心多一点幸福多一点,,,,W.LIN
50130,5501,姐姐，生日快乐      新的一年，愿你依然明媚热烈，做一切你想做的事，尽情绽放你独一无二的魅力。,,,,2229_
50131,5501,肠胃炎到此一游，希望恋恋不得肠胃炎 生日快乐,,,,肠胃炎
50132,5501,祝窝姐生日快乐  新的一岁继续发光发热吧～,,,,一一站住不许跑
50133,5501,本命年啦，又是一个新的阶段了，人们总爱把期待付诸特殊的时间点，但希望你永远满怀期待、祝你开心快乐，祝你一直被爱着。,,,,Tetrahydrofuran_
50134,5501,,,,,rain
50135,5501,地球online全服通报尊贵的刘恋用户恭喜晋升LV36,,,,萧个蛋挞
50136,5501,我永远在场,,,,回忆专宠小能喵
50137,5501,尽兴快乐健康幸福,,,,1105号阿念
50138,5501,平安喜乐 诸事顺遂,,,,Maxine
50139,5501,"恋恋生日快乐，愿你所行皆坦途，心有自在，有光可循，平安顺遂，也愿你被温柔以待。
",,,,阿卡
50140,5501,不止生日快乐，希望你总是开心的特别的,,,,夏之恋llll
50141,5501,不用把自己逼得太紧、太焦虑。来这个世界就是玩儿的，有时候粉丝说的话听听就行了，毕竟不同的人有不同的期待，你不用全都去满足。你发点儿小病的时候特别迷人，祝你不管36岁还是63岁都玩儿得快乐，期待你更多发点儿小病的作品！,,,,玛卡巴卡混账到老
50142,5501,愿你继续自由的表达，自在的活！（可以多拍点vlog嘛  ,,,,ike
50143,5501,还是做个臭屁小孩王吧，会做超厉害音乐的小孩！,,,,阿七
50144,5501,生日快乐恋恋！新的一年创造并享受更多美好的回忆吧！,,,,加绒
50145,5501,生日快乐！,,,,大尻
50146,5501,祝恋恋两个18岁快乐,,,,摇一摇
50147,5501,姐，今年是第5年一起庆祝你的生日了。恭喜你也恭喜我。我眼光不错爱的是个有实力的偶像。你运气不错，遇见了一个较为长情的粉丝。我们继续这样相伴着一起走吧！为你加油哦！祝你生日快乐~,,,,Huan
50148,5501,祝你健康,,,,马天天天
50149,5501,"祝妳
时常作好曲，永远被人愛。",,,,陈xr
50150,5501,感受更多美好,,,,二哈
50151,5501,恋恋生日快乐！自由如风 继续做自己喜欢的事 期待新作,,,,小蝴蝶Sylvia
50152,5501,祝你更从容更自在的享受创作过程,,,,就酱儿
50153,5501,生日快乐，祝你永远自由，灵感无限，睡个好觉吧,,,,虾条
50154,5501,祝恋恋在新的一岁能绽放出更灿烂的光，生日快乐，期待新一岁的更多新作品哈哈,,,,理论摄影部
50155,5501,祝你身体健康，灵感永不枯竭，做任何你想做的事，刘恋全肯定！,,,,江鸟
50156,5501,祝姐姐健康顺遂，大胆往前走！我们永远在场！,,,,薯条一盒
50157,5501,「53」岁很棒，「63」岁会更好  ,,,,和桃桃争宠
50158,5501,愿你永远无忧无虑  ,,,,Kkxxx
50159,5501,永远太远，那我许愿陪你过一年又一年的生日,,,,奕只屁屁桃
50160,5501,今年是本命年了！小恋生日快乐！虽然每年都是不变的祝你平安顺利，但是还是希望你能健健康康，多演出多发歌，四年过去，我依然在场,,,,到现在你还在场
50161,5501,祝恋恋新的一岁少生气、多快乐、运气好一点再好一点。,,,,女人不要生气
50162,5501,生日快乐呀！长大了一岁的小马，希望新的一年你也收获多多，行囊满满,,,,hia
50163,5501,陪你过的第一个生日，虽然还未成年没有能力好好爱你，但是很开心你可以好好爱自己,,,,爱羽球的小耗子
50164,5501,一直在场，去年见了两次面脑海一直在回播"当我见到妳，妳也见到我了”今年高考，之后要更多见面,,,,不困
50165,5501,岁岁平安，常相见。,,,,闻起来也不像个受
50166,5501,生日快乐！一定要健健康康快快乐乐唱到九十岁！灵感永不枯竭好运常相伴！,,,,KIYO
50167,5501,祝你生日快乐！希望你真的能唱到90岁！！,,,,范德贝克
50168,5501,谢谢你不厌其烦地降临在我的生命里,,,,鱼信国王13
50169,5501,又一年了，希望36岁的刘恋平安，健康，快乐。,,,,只喜欢刘恋
50170,5501,生日快乐恋，本命年顺心顺意，赚钱多多，爱意满满。,,,,林詩梅
50171,5501,小恋生日快乐      新的一岁也多多见面吧,,,,吃悬浮
50172,5501,生日快乐！祝顺遂祝许的愿望都会实现，希望所有俗套的祝福都能在你身上灵验！,,,,掉色蓝水母
50173,5501,生日快乐  永远做你自己！你是我见过最好的人！,,,,ppeuppeu(噗噗）
50174,5501,生日快乐！希望小恋天天开心，多出新歌，大爆！身体健康！,,,,不想吃饭le
50175,5501,感觉浪三还历历在目，已经陪你过了一个又一个的生日啦，以后的每一个生日也一直在，生日快乐我的恋恋,,,,躺躺（Tttt.）
50176,5501,请继续创作吧！天天开心！,,,,WiSH.
50177,5501,你好，三十六岁的刘恋,,,,止望海
50178,5501,生日快乐呀！要开心要健康，转眼已经陪伴第四年了，刚好是我的整个大学四年，好想来找你拨穗呀,,,,mymy
50179,5501,好好吃饭，身体健康，祝你夜夜灵感爆棚！,,,,h一线
50180,5501,姐 生日快乐！截止日期正好是我生日 好巧呀 今年 明年 年年 要常见面 多思念！,,,,子千
50181,5501,刘恋天天开心 顺顺利利,,,,蜗牛壳
50182,5501,恋恋祝你平安顺遂，健康快乐，我们会一直在的,,,,迷恋不营业
50183,5501,好运和灵感常光顾，身体健康，被更多人爱,,,,baymax6-
50184,5501,恋恋恋恋～生日快乐！愿你生活日日幸福，岁岁无忧，创作之路坦荡顺遂，灵感如泉涌不息。往后万事，皆如你所愿。我会一直在场！,,,,凌云木LMX
50185,5501,困了就睡累了就休息有灵感就发发歌，无论如何都会支持你  ,,,,bourbon
50186,5501,风遇山止 船到岸停 愿你此生无忧亦无惧 生辰快乐,,,,77
50187,5501,刘恋一定会站上音乐圈里最亮的舞台！,,,,KkkAwAiiii_卡卡
50188,5501,永远才思泉涌，灵感不断,,,,成ke星xingxing 
50189,5501,生日快乐！继续写出自己喜欢的超厉害的作品 演出一切顺利！,,,,星荷Lotus 
50190,5501,"亲爱的刘恋女士，生日快乐！转眼这好像是陪你过的第4个生日了。新的一岁我祝你幸福，快乐，安康！祝你永远能在舞台上闪闪发光祝你永远能写出好的歌曲和歌词我祝你自信明媚，更祝你站在太阳底下尽兴去做蓬勃生动的梦！
",,,,缺牙巴贝壳
50191,5501,生日快乐！永远对世界保持好奇和追问,,,,苏格拉没有底
50192,5501,每天都要开心呀！谢谢你出现在我的生命中！照顾好自己呦！,,,,优雅气质小熊猫
50193,5501,这是喜欢你的第4年，是陪你度过的第三个生日，很感谢你的出现，因为有你，我的心有了归属地，希望未来还能一直在场，听你一场又一场,,,,小太阳阳阳昂
50194,5501,姐姐生日快乐！对你的祝愿永远只有平安幸福，写不出来歌也没关系，不用给自己太大压力，但我还是祝你有源源不断的灵感。我爱你，你是让我感到安心的存在。,,,,潮汐
50195,5501,生日快乐，今年一定能写出石破天惊的音乐,,,,金盆洗手版的憨
50196,5501,生日快乐！身体健康、一切顺利，祝你有源源不断的灵感，有更多选择的机会，能在你喜欢的领域尽情享受。,,,,HAN
50197,5501,希望你的愿望都能实现。生日快乐!,,,,吃饭喝粥吧
50198,5501,生日快乐，又一起走过一年啦！祝你今年也尽兴！,,,,那就吃颗糖好了_
50199,5501,祝我爱的这位美丽聪明又幽默的女人生日快乐，享受生命！,,,,Hasdeztwazi
50200,5501,健康平安快乐，骑着小马继续探索你的天地,,,,嘎嘣脆小靖
50201,5501,平安健康快乐,,,,张文Rose
50202,5501,平安顺遂，以后的日子每天都会幸福的,,,,咂酱面_
50203,5501,今年见，明年重见，春色如人面。,,,,小能
50204,5501,川頁,,,,啦啦啦波小吉 
50205,5501,生日快乐，永远不死！,,,,梦想是成为闲鱼王
50206,5501,"自在无畏 勇敢自由
你知道自己要什么 也一直做的很好
祝你坚持自己想要坚持的 得到想要得到的
除此之外 得到世界上的美好吧
每个晚上都好梦",,,,#85
50207,5501,生日快乐，恋恋。要身体健康，希望你有新奇的人生体验！,,,,麻瓜小王
50208,5501,生日快乐 平安健康 幸福自由 唱到九十岁好不好,,,,祈求白昼
50209,5501,生日快乐  愿你能永远享受舞台  健康自由,,,,老虎欣
50210,5501,生日快乐 愿你永远自由，享受舞台，平安喜乐。,,,,试图不熬夜
50211,5501,生日快乐！祝我们的愿望都实现  ,,,,爪巴
50212,5501,生日快乐 身体健康！灵感多多....还有就是想多见面！！,,,,蕊蕊要吃冰淇淋
50213,5501,"生日快乐 
感觉到快乐就好",,,,浣熊没有脑袋
50214,5501,做自己想做的就好,,,,明明乖乖
50215,5501,希望所有陈年积怨都要为你的幸福让道也希望你继续在热爱中寻找尽兴,,,,嘟嘟
50216,5501,永远开心            永远自由,,,,风沐凡尘
50217,5501,请继续站在舞台上歌唱,,,,华
50218,5501,祝你尽兴,,,,梨糖
50219,5501,做你想做的，自由 绚烂 尽兴，我会一直在场,,,,为堂
50220,5501,生日快乐！愿你所愿皆成真！,,,,果冻
50221,5501,姐姐天天开心呀！一直快乐,,,,恋恋许愿池
50222,5501,生日大快乐！就算是个低调的生日也没关系的 可以不用有宠粉的直播 精心的表演 但请有一个平凡又美好的一天 谢谢你成为了刘恋,,,,阿赤
50223,5501,生日快乐。平安健康，一切安好。常见面，多出歌。爱不会散，今年依旧在场。,,,,可乐加冰
50224,5501,祝你生日快乐，也祝我生日快乐，因为我们是同一天生日，我的生日愿望就是希望你的生日愿望都能实现，也祝我越来越爱你,,,,20190330一
50225,5501,生日快乐！一如既往祝你自由快乐，健康平安，以及所有的努力都有该有的收获！,,,,吃着菌儿
50226,5501,谢谢妳在这里，灿烂耀眼、让我能注视着妳,,,,絮
50227,5501,生日快乐啊，同样出生在4月春日的人，一转眼都已经作为你的饭四年了，谢谢你写了很多好听的歌，说了很多有意思的话，让我看到了很多新的东西。,,,,星野
50228,5501,关注你1432天了，我都没想到关注你这么久，去年在沈阳看你，我说祝你天天开心！现在也祝你天天开心吧！（我该不会是最后一个看见此表格的人吧）,,,,美味蟹堡王
50229,5502,"40岁的悄悄很安静:你已经博士毕业十年了吧，现在在做什么工作呢还和你爱且爱你的人在一起吗还爱着小恋吗无论怎么样，我相信你都是一个很厉害的人了，就像18岁的你看着此刻23岁的你一样。
40岁的小恋:不用问我就知道，你一定还在唱歌对不对！毕竟，你答应了我们要一起唱到90岁，虽然不知道是什么时候答应的。没有唱到90岁，那也没关系，不过，如果可以我还是希望你在场。我们的super star，永远都不要感到无助好吗，我们在明天等你。",,,,悄悄很安静
50230,5502,还会喜欢刘恋,,,,奇衡三
50231,5502,那个时候专辑应该出了四张了，巡演也四巡了。我那时候应该还是保持很热烈的热爱吧。,,,,恰逢在场-
50232,5502,不管是40岁还是后面的日子，都想要你一直唱，我也想要一直听，走过高山低谷，都希望你仍愿意和这个世界兴致勃勃地交手。,,,,飞行器
50233,5502,你好40岁的刘恋和四年后的我自己 首先希望四年后的我依然在场 更希望不止未来四年 其次无论这四年里发生了什么 无论你现在做的怎样 希望我对你和你所有作品的热爱是不变的 希望那时的我有变得更好一点 能去再为你多做些什么,,,,0_Yuzz
50234,5502,那时的我已经20多啦 感觉会更加向往更成熟的生活 希望那时候依然爱着刘恋！也在坚持做着自己喜欢的事！,,,,燊一_
50235,5502,"希望姐四十岁的时候 我们还能够在场 淡淡的浓浓的喜欢姐久一点  想陪着姐姐唱向更大的舞台 我们约定好：“你九十岁了 也还要唱歌给我们听 ” （我们唱给你听也行哈哈哈哈）永远爱你这四个字虽然很重但你值得！！！！
",,,,勤劳的猪啊
50236,5502,不止四年，希望哪怕是四十年后，我依然热爱现在在爱的一切，包括刘恋和她的创作们。,,,,我的猫儿黄白身子金镶玉
50237,5502,希望40岁的刘恋已经举办了一百场巡演，写出了第十张个人专辑，桃桃还陪着刘恋，我们也还在听刘恋给我们唱歌；希望那时的自己不再需要为生活和工作感到担心，过上自己想要的生活，有随时出发的底气，有好好爱人的能力。,,,,敦敦是个小太阳
50238,5502,"希望
那个时候依然会因为喜欢你而感到幸福",,,,Salute
50239,5502,那个时候的我们一定会过得更好吧，也会有更多的时间去见面，请坚定的爱自己，抽空也要多爱恋恋！,,,,卡卡罗轩
50240,5502,希望我们都能有底气地说不后悔,,,,初霁之阳
50241,5502,当你打开这个胶囊的时候 就可以写八十岁的了！！,,,,小叽不哈气
50242,5502,刘恋永远都会是刘恋,,,,是馨鸭
50243,5502,"不必光芒万丈，不必始终耀眼，
只要是你，我就永远奉陪。",,,,肖恩嗯呐
50244,5502,"给刘恋：我这存有一张刘恋满40减8的券（我意思是我愿意从头再爱你）
给自己：29岁了，快到可以参加浪姐的年龄了",,,,心动周期不到一秒
50245,5502,40岁的刘恋会依然热爱舞台！我也会一直做你忠实的听众！,,,,吃吃吃宵夜_
50246,5502,顺利的话，那时候我应该已经在读研了，渐渐的变成小时候憧憬过的大人的模样。我希望我没有失去少年心气，依然有勇气说做就做，去线下见更多次刘恋，陪她一直一直走下去。恋恋也会创作出更多新的音乐，留下更多独特的舞台，然后在我的心里占据更大的地方。,,,,风风风风晗
